Day fraction since midnight on 	DO probe (mg/L)	 (volts)
0.5869069337	6.1663155556	-0.8660913706
0.5869647922	6.0797772408	-0.8733422756
0.5870226750	5.9845008850	-0.8813253045
0.5870805386	5.9034523964	-0.8881161809
0.5871384022	6.0379171371	-0.8768496513
0.5871962764	6.3748440742	-0.8486191630
0.5872541464	6.6186609268	-0.8281902075
0.5873120228	6.8603277206	-0.8079414368
0.5873698788	6.9855642319	-0.7974480987
0.5874277699	7.0663547516	-0.7906787992
0.5874856292	7.1180396080	-0.7863482237
0.5875435107	7.1464810371	-0.7839651704
0.5876013730	7.1862483025	-0.7806331515
0.5876592471	7.2055044174	-0.7790197134
0.5877171089	7.2089509964	-0.7787309289
0.5877749725	7.2011208534	-0.7793869972
0.5878328495	7.2049503326	-0.7790661454
0.5878907110	7.2078499794	-0.7788231969
0.5879486024	7.2307062149	-0.7769080997
0.5880064642	7.2499203682	-0.7752981782
0.5880643337	7.2389545441	-0.7762169838
0.5881222016	7.2023711205	-0.7792822719
0.5881800692	7.1984791756	-0.7796083689
0.5882379653	7.2158665657	-0.7781515121
0.5882958296	7.2513837814	-0.7751755714
0.5883536822	7.2404413223	-0.7760924101
0.5884115539	7.2330751419	-0.7767096162
0.5884694268	7.2392406464	-0.7761930227
0.5885273135	7.2643656731	-0.7740878463
start
0.5885851890	7.2770361900	-0.7730262280
0.5886430586	7.2881293297	-0.7720967531
0.5887009110	7.2320947647	-0.7767917514
0.5887587812	7.0069856644	-0.7956532240
0.5888166557	6.6858334541	-0.8225619793
0.5888745218	6.2425045967	-0.8597076535
0.5889323804	5.7638802528	-0.8998106718
0.5889902709	5.2535848618	-0.9425673485
0.5890481177	4.7759366035	-0.9825885892
0.5891059954	4.3535423279	-1.0179802179
0.5891638688	3.9481363297	-1.0519484282
0.5892217395	3.5523705482	-1.0851088762
0.5892796068	3.2283782959	-1.1122555733
0.5893374795	2.9422724247	-1.1362278461
0.5893953423	2.6713857651	-1.1589249372
0.5894532252	2.4261453152	-1.1794731617
0.5895110994	2.1993310452	-1.1984775066
0.5895689541	1.9836381674	-1.2165499926
0.5896268512	1.8110688925	-1.2310092449
0.5896846939	1.6487178802	-1.2446123362
0.5897425706	1.4997391701	-1.2570949793
0.5898004519	1.3601562977	-1.2687903643
0.5898583132	1.2237176895	-1.2802222967
0.5899162050	1.1032408476	-1.2903168201
0.5899740562	1.0131838322	-1.2978625298
0.5900319346	0.9007540345	-1.3072828054
0.5900897984	0.8244265318	-1.3136781454
0.5901476704	0.7542224526	-1.3195604086
0.5902055484	0.6797189116	-1.3258029222
0.5902634182	0.6185691953	-1.3309265375
0.5903212820	0.5572018623	-1.3360683918
0.5903791400	0.4988265336	-1.3409595490
0.5904370247	0.4521206021	-1.3448729515
0.5904948782	0.4174197912	-1.3477804661
0.5905527571	0.3960416019	-1.3495717049
0.5906106211	0.3813972473	-1.3507987261
0.5906684956	0.3579134047	-1.3527663946
0.5907263711	0.3408062756	-1.3541997671
0.5907842344	0.3244546354	-1.3555698395
0.5908421055	0.3143061996	-1.3564201593
0.5908999856	0.3160547614	-1.3562736511
0.5909578550	0.3116200566	-1.3566452265
0.5910157271	0.3053229749	-1.3571728468
0.5910735974	0.3214498162	-1.3558216095
0.5911314560	0.3374941349	-1.3544772863
0.5911893313	0.3411463201	-1.3541712761
0.5912471936	0.3467974663	-1.3536977768
0.5913050851	0.3617334664	-1.3524463177
0.5913629397	0.3798393607	-1.3509292603
0.5914208208	0.3970929980	-1.3494836092
0.5914786864	0.4092959166	-1.3484611511
0.5915365460	0.4251424670	-1.3471333981
0.5915944194	0.4490005076	-1.3451343775
0.5916523032	0.4718526900	-1.3432196379
0.5917101739	0.4963153899	-1.3411699533
0.5917680284	0.5142206550	-1.3396697044
0.5918259092	0.5498291850	-1.3366861343
0.5918837802	0.5833078623	-1.3338810205
0.5919416552	0.6154903769	-1.3311845064
0.5919995176	0.6339889765	-1.3296345472
0.5920573883	0.6511031985	-1.3282005787
0.5921152585	0.6839472651	-1.3254486322
0.5921731204	0.7156389952	-1.3227932453
0.5922309954	0.7350552082	-1.3211663961
0.5922888702	0.7642471194	-1.3187204599
0.5923467336	0.7926579714	-1.3163399696
0.5924046186	0.8331266046	-1.3129491806
0.5924624728	0.8563230634	-1.3110055923
0.5925203506	0.8801256418	-1.3090112209
0.5925782326	0.9038072824	-1.3070269823
0.5926361125	0.9435858727	-1.3036940098
0.5926939527	0.9730409980	-1.3012260199
0.5927518247	1.0003848076	-1.2989349365
0.5928097112	1.0428637266	-1.2953757048
0.5928675857	1.0745255947	-1.2927228212
0.5929254470	1.0994435549	-1.2906349897
0.5929833154	1.1288388968	-1.2881720066
0.5930411773	1.1542832851	-1.2860400677
0.5930990516	1.1907454729	-1.2829849720
0.5931569145	1.2214568853	-1.2804117203
0.5932147860	1.2531358004	-1.2777574062
0.5932726696	1.2796956301	-1.2755320072
0.5933305299	1.3209439516	-1.2720758915
0.5933884175	1.3489193916	-1.2697318792
0.5934462826	1.3692717552	-1.2680265903
0.5935041385	1.4023563862	-1.2652544975
0.5935620075	1.4399055243	-1.2621083260
0.5936198954	1.4738110304	-1.2592674494
0.5936777693	1.4888095856	-1.2580107450
0.5937356281	1.5178294182	-1.2555792332
0.5937934916	1.5499080420	-1.2528914213
0.5938513768	1.5801157951	-1.2503603697
0.5939092316	1.6066144705	-1.2481400967
0.5939671067	1.6397559643	-1.2453632355
0.5940249909	1.6797579527	-1.2420115471
0.5940828431	1.7146679163	-1.2390865088
0.5941407134	1.7447290421	-1.2365677357
0.5941985922	1.7649506330	-1.2348734140
0.5942564519	1.7815953493	-1.2334787846
0.5943143444	1.8234866858	-1.2299687862
0.5943722132	1.8684753180	-1.2261992693
0.5944300835	1.8817780018	-1.2250846624
0.5944879555	1.9050968885	-1.2231308222
0.5945458118	1.9332118034	-1.2207751274
0.5946036886	1.9647042751	-1.2181364298
0.5946615599	1.9985642433	-1.2152993679
0.5947194234	2.0215046406	-1.2133772373
0.5947772975	2.0454082489	-1.2113744020
0.5948351755	2.0743782520	-1.2089470625
0.5948930379	2.0994911194	-1.2068428993
0.5949509079	2.1255528927	-1.2046592236
0.5950087752	2.1626155376	-1.2015538216
0.5950666472	2.1932089329	-1.1989904642
0.5951245242	2.2244524956	-1.1963726282
0.5951824001	2.2484114170	-1.1943651438
0.5952402793	2.2818729877	-1.1915614605
0.5952981340	2.3107221127	-1.1891442537
0.5953560118	2.3364467621	-1.1869888306
0.5954138715	2.3607559204	-1.1849520206
0.5954717448	2.3899364471	-1.1825070381
0.5955296017	2.4184098244	-1.1801213026
0.5955874796	2.4337725639	-1.1788340807
0.5956453545	2.4523239136	-1.1772797108
0.5957032339	2.4877474308	-1.1743116379
0.5957610891	2.5232264996	-1.1713389158
0.5958189679	2.5491433144	-1.1691673994
0.5958768322	2.5763816833	-1.1668851376
0.5959347078	2.6058781147	-1.1644136906
0.5959925758	2.6200373173	-1.1632273197
0.5960504481	2.6477396488	-1.1609061956
0.5961083121	2.6712903976	-1.1589329243
0.5961661824	2.6931238174	-1.1571035385
0.5962240468	2.7122397423	-1.1555018425
0.5962819349	2.7321569920	-1.1538330317
0.5963398043	2.7630333900	-1.1512459517
0.5963976564	2.7925837040	-1.1487699747
0.5964555533	2.8110425472	-1.1472233534
0.5965133984	2.8356049061	-1.1451653242
0.5965712927	2.8648223877	-1.1427172422
0.5966291374	2.8922030926	-1.1404230595
0.5966870277	2.9031198025	-1.1395083666
0.5967448951	2.9174880981	-1.1383044720
0.5968027501	2.9422070980	-1.1362333298
0.5968606244	2.9725329876	-1.1336923838
0.5969185095	2.9952442646	-1.1317894459
0.5969763680	3.0192573071	-1.1297774315
0.5970342374	3.0518283844	-1.1270483732
0.5970921009	3.0820162296	-1.1245189905
0.5971499863	3.1077208519	-1.1223652363
0.5972078522	3.1351187229	-1.1200696230
0.5972657192	3.1530723572	-1.1185653210
0.5973236032	3.1609272957	-1.1179071665
0.5973814550	3.1655356884	-1.1175210476
0.5974393424	3.1866178513	-1.1157546043
0.5974972128	3.2136828899	-1.1134868860
0.5975550726	3.2460303307	-1.1107765436
0.5976129571	3.2809717655	-1.1078488827
0.5976708233	3.3015615940	-1.1061236858
0.5977286767	3.3170311451	-1.1048275232
0.5977865652	3.3349933624	-1.1033225060
0.5978444333	3.3628294468	-1.1009901762
0.5979022992	3.3848066330	-1.0991487503
0.5979601746	3.3947913647	-1.0983121395
0.5980180399	3.4093403816	-1.0970931053
0.5980759128	3.4452548027	-1.0940839052
0.5981338118	3.4697687626	-1.0920299292
0.5981916438	3.4959459305	-1.0898365974
0.5982495508	3.5195834637	-1.0878560543
0.5983073957	3.5344455242	-1.0866107941
0.5983652648	3.5524702072	-1.0851005316
0.5984231262	3.5719091892	-1.0834717751
0.5984810020	3.6061463356	-1.0806031227
0.5985388771	3.6337916851	-1.0782867670
0.5985967454	3.6431305408	-1.0775042772
0.5986546101	3.6533031464	-1.0766519308
0.5987124749	3.6584520340	-1.0762205124
0.5987703623	3.6672618389	-1.0754823685
0.5988282258	3.7045419216	-1.0723587275
0.5988860815	3.7295880318	-1.0702601671
0.5989439568	3.7504696846	-1.0685105324
0.5990018233	3.7683949471	-1.0670086145
0.5990596970	3.7863712311	-1.0655024052
0.5991175673	3.8017411232	-1.0642145872
0.5991754540	3.8108780384	-1.0634490252
0.5992333149	3.8230497837	-1.0624291897
0.5992911903	3.8430664539	-1.0607520342
0.5993490577	3.8589811325	-1.0594185591
0.5994069369	3.8691780567	-1.0585641861
0.5994648040	3.8827624321	-1.0574259758
0.5995226773	3.8968036175	-1.0562494993
0.5995805433	3.9300389290	-1.0534647703
0.5996384021	3.9505946636	-1.0517424345
0.5996962825	3.9790310860	-1.0493597984
0.5997541784	4.0010423660	-1.0475155115
0.5998120238	4.0161180496	-1.0462523699
0.5998698964	4.0233154297	-1.0456492901
0.5999277573	4.0386614799	-1.0443634987
0.5999856374	4.0616316795	-1.0424388647
0.6000435008	4.0739412308	-1.0414074659
0.6001013670	4.0958342552	-1.0395730734
0.6001592346	4.1140813828	-1.0380442142
0.6002171251	4.1314301491	-1.0365905762
0.6002749838	4.1398086548	-1.0358885527
0.6003328625	4.1555571556	-1.0345690250
0.6003907297	4.1843633652	-1.0321553946
0.6004486005	4.2078018188	-1.0301915407
0.6005064953	4.2230591774	-1.0289131403
0.6005643351	4.2341370583	-1.0279849768
0.6006222175	4.2470111847	-1.0269062519
0.6006800826	4.2625517845	-1.0256041288
0.6007379387	4.2682356834	-1.0251278877
0.6007958113	4.2848391533	-1.0237367153
0.6008536604	4.3074908257	-1.0218387842
0.6009115150	4.3324913979	-1.0197440386
0.6009693615	4.3409366608	-1.0190364122
0.6010272067	4.3473987579	-1.0184949636
0.6010850400	4.3691086769	-1.0166759491
0.6011428903	4.3849353790	-1.0153498650
0.6012007304	4.3967967033	-1.0143560171
0.6012585854	4.4082598686	-1.0133955479
0.6013164349	4.4186644554	-1.0125237703
0.6013743039	4.4333767891	-1.0112910271
0.6014321354	4.4558067322	-1.0094116926
0.6014899863	4.4774551392	-1.0075978041
0.6015478341	4.4890947342	-1.0066225529
0.6016056667	4.5020217896	-1.0055394173
0.6016635105	4.5278944969	-1.0033715963
0.6017213629	4.5437579155	-1.0020424128
0.6017792287	4.5446939468	-1.0019639730
0.6018370768	4.5479249954	-1.0016932487
0.6018949181	4.5694942474	-0.9998860359
0.6019527660	4.5857043266	-0.9985278249
0.6020106195	4.5970897675	-0.9975738525
0.6020684606	4.6151037216	-0.9960644841
0.6021263049	4.6252288818	-0.9952161312
0.6021841710	4.6405091286	-0.9939358234
0.6022420195	4.6655921936	-0.9918341637
0.6022998433	4.6878643036	-0.9899680018
0.6023577023	4.6953759193	-0.9893386364
0.6024155415	4.7086701393	-0.9882247448
0.6024733952	4.7202711105	-0.9872527122
0.6025312442	4.7322554588	-0.9862485528
0.6025890867	4.7445139885	-0.9852214456
0.6026469418	4.7573657036	-0.9841446280
0.6027047839	4.7749147415	-0.9826742411
0.6027626219	4.7833385468	-0.9819684029
0.6028204691	4.7920093536	-0.9812418818
0.6028783243	4.8159828186	-0.9792332053
0.6029361618	4.8332200050	-0.9777889252
0.6029940273	4.8462724686	-0.9766952991
0.6030518576	4.8613891602	-0.9754287004
0.6031097040	4.8854951859	-0.9734088778
0.6031675642	4.8830876350	-0.9736106396
0.6032253962	4.8908820152	-0.9729575515
0.6032832488	4.9018249512	-0.9720406532
0.6033411057	4.9123816490	-0.9711561203
0.6033989438	4.9108672142	-0.9712830186
0.6034568054	4.9290685654	-0.9697579741
0.6035146401	4.9651441574	-0.9667352438
0.6035724991	4.9708237648	-0.9662593603
0.6036303309	4.9768137932	-0.9657574892
0.6036881805	4.9864692688	-0.9649484754
0.6037460489	5.0033764839	-0.9635318518
0.6038038812	5.0226597786	-0.9619161487
0.6038617361	5.0289402008	-0.9613898993
0.6039195747	5.0270724297	-0.9615464211
0.6039774186	5.0330862999	-0.9610425234
0.6040352776	5.0492763519	-0.9596859813
0.6040931225	5.0632390976	-0.9585160613
0.6041509711	5.0730924606	-0.9576904774
0.6042088272	5.0945181847	-0.9558952451
0.6042666657	5.1136441231	-0.9542927146
0.6043244999	5.1226558685	-0.9535376430
0.6043823524	5.1339654922	-0.9525900483
0.6044402170	5.1626758575	-0.9501844645
0.6044980710	5.1763987541	-0.9490346313
0.6045559203	5.1747031212	-0.9491767287
0.6046137790	5.1824140549	-0.9485306144
0.6046716520	5.1986513138	-0.9471701384
0.6047295010	5.1902813911	-0.9478714466
0.6047873617	5.2096371651	-0.9462496638
0.6048452344	5.2325100899	-0.9443331957
0.6049030987	5.2401590347	-0.9436922669
0.6049609501	5.2408103943	-0.9436377287
0.6050188099	5.2567996979	-0.9422979951
0.6050766757	5.2788720131	-0.9404485822
0.6051345436	5.2960453033	-0.9390096664
0.6051923991	5.3010735512	-0.9385883808
0.6052502511	5.3015708923	-0.9385467172
0.6053081204	5.3078093529	-0.9380239844
0.6053659796	5.3297982216	-0.9361816049
0.6054238446	5.3396396637	-0.9353569746
0.6054816992	5.3406529427	-0.9352720976
0.6055395706	5.3608679771	-0.9335783124
0.6055974217	5.3857617378	-0.9314925075
0.6056552896	5.3912544250	-0.9310323000
0.6057131412	5.4066348076	-0.9297435880
0.6057710128	5.4222774506	-0.9284329414
0.6058288785	5.4003615379	-0.9302692413
0.6058867165	5.4075737000	-0.9296649098
0.6059445916	5.4343943596	-0.9274176955
0.6060024392	5.4576416016	-0.9254698157
0.6060603217	5.4671278000	-0.9246749878
0.6061181829	5.4778752327	-0.9237744808
0.6061760385	5.4959220886	-0.9222623706
0.6062339018	5.4952287674	-0.9223204851
0.6062917530	5.4951019287	-0.9223310947
0.6063496221	5.5059275627	-0.9214240313
0.6064074656	5.5242805481	-0.9198862910
0.6064653390	5.5302495956	-0.9193861485
0.6065232055	5.5295004845	-0.9194489121
0.6065810732	5.5407304764	-0.9185079932
0.6066389234	5.5425534248	-0.9183552265
0.6066967825	5.5516390800	-0.9175939560
0.6067546635	5.5792207718	-0.9152829647
0.6068125249	5.5913624763	-0.9142656326
0.6068703808	5.5928392410	-0.9141418934
0.6069282679	5.5939087868	-0.9140522480
0.6069861217	5.6024169922	-0.9133393764
0.6070439999	5.6148076057	-0.9123011827
0.6071018460	5.6287627220	-0.9111319184
0.6071597233	5.6343512535	-0.9106636643
0.6072175961	5.6501545906	-0.9093395472
0.6072754663	5.6697969437	-0.9076937437
0.6073333356	5.6805591583	-0.9067919850
0.6073912020	5.6839537621	-0.9065075517
0.6074490524	5.6935768127	-0.9057012796
0.6075069246	5.6915593147	-0.9058703184
0.6075647917	5.6896100044	-0.9060336351
0.6076226363	5.6989569664	-0.9052504897
0.6076805128	5.7067842484	-0.9045946598
0.6077383913	5.7133288383	-0.9040462971
0.6077962522	5.7319707870	-0.9024842978
0.6078541126	5.7482123375	-0.9011234641
0.6079119995	5.7478146553	-0.9011567831
0.6079698771	5.7455010414	-0.9013506174
0.6080276999	5.7546176910	-0.9005867839
0.6080855797	5.7617769241	-0.8999869227
0.6081434480	5.7641420364	-0.8997887373
0.6082013381	5.7744193077	-0.8989276290
0.6082591777	5.7951798439	-0.8971881270
0.6083170469	5.8080730438	-0.8961078525
0.6083749120	5.8200602531	-0.8951034546
0.6084327734	5.8347864151	-0.8938695788
0.6084906376	5.8302187920	-0.8942523003
0.6085485011	5.8280510902	-0.8944339156
0.6086063618	5.8544211388	-0.8922244310
0.6086642318	5.8833036423	-0.8898044229
0.6087220983	5.8839521408	-0.8897500634
0.6087799747	5.8915939331	-0.8891097903
0.6088378394	5.8978400230	-0.8885864615
0.6088956971	5.8965272903	-0.8886964321
0.6089535809	5.8904800415	-0.8892031312
0.6090114232	5.8924946785	-0.8890343308
0.6090693111	5.9067773819	-0.8878375888
0.6091271638	5.9288315773	-0.8859897256
0.6091850230	5.9285507202	-0.8860132694
0.6092428840	5.9377231598	-0.8852447271
0.6093007583	5.9568958282	-0.8836382627
0.6093586339	5.9639911652	-0.8830437660
0.6094164991	5.9732298851	-0.8822696805
0.6094743488	5.9729580879	-0.8822924495
0.6095322215	5.9875206947	-0.8810722828
0.6095900877	6.0011496544	-0.8799303174
0.6096479633	5.9972486496	-0.8802571893
0.6097058273	6.0075888634	-0.8793907762
0.6097636788	6.0248746872	-0.8779424429
0.6098215453	6.0302939415	-0.8774883747
0.6098794370	6.0156259537	-0.8787173629
0.6099372839	6.0303902626	-0.8774803281
0.6099951467	6.0527677536	-0.8756053448
0.6100530155	6.0746622086	-0.8737708330
0.6101109054	6.0811338425	-0.8732286096
0.6101687639	6.0730085373	-0.8739094138
0.6102266235	6.0611319542	-0.8749045134
0.6102844933	6.0678062439	-0.8743453026
0.6103423697	6.0779290199	-0.8734971285
0.6104002300	6.0967140198	-0.8719231486
0.6104581115	6.1124820709	-0.8706020117
0.6105159647	6.1245803833	-0.8695883155
