Day fraction since midnight on 	DO probe (mg/L)	 (volts)
0.6134672447	6.9237961769	-0.8026235104
0.6135251173	7.0364737511	-0.7931824923
0.6135829863	7.1215405464	-0.7860549092
0.6136408522	7.1388678551	-0.7846030593
0.6136987299	7.1567654610	-0.7831034660
0.6137566045	7.1763024330	-0.7814664841
0.6138144630	7.1903777122	-0.7802871466
0.6138723430	7.1906547546	-0.7802639604
0.6139302074	7.1809968948	-0.7810731530
0.6139880729	7.1823616028	-0.7809588313
0.6140459676	7.1975483894	-0.7796863317
0.6141038226	7.2090911865	-0.7787191868
0.6141616948	7.2049484253	-0.7790663242
0.6142195610	7.2495875359	-0.7753260732
0.6142774262	7.3580875397	-0.7662350535
0.6143353001	7.3018460274	-0.7709474564
0.6143931732	7.3186974525	-0.7695354819
0.6144510240	7.3511986732	-0.7668122649
0.6145088984	7.3740196228	-0.7649001479
0.6145668004	7.4010004997	-0.7626394629
0.6146246485	7.4202818871	-0.7610239387
0.6146825167	7.4306712151	-0.7601534128
start
0.6147403984	7.4260134697	-0.7605437040
0.6147982540	7.4225707054	-0.7608321309
0.6148561306	7.3838310242	-0.7640780807
0.6149139984	7.1970105171	-0.7797313929
0.6149718524	6.7856807709	-0.8141959310
0.6150297368	6.1158232689	-0.8703220487
0.6150876045	5.2350955009	-0.9441165328
0.6151454720	4.3229675293	-1.0205420256
0.6152033399	3.4947564602	-1.0899362564
0.6152612278	2.8031363487	-1.1478857994
0.6153190781	2.2512938976	-1.1941236258
0.6153769533	1.8137180805	-1.2307872772
0.6154348352	1.4644037485	-1.2600556612
0.6154926895	1.1828150749	-1.2836494446
0.6155505532	0.9534056187	-1.3028712273
0.6156084252	0.7769579887	-1.3176554441
0.6156663080	0.6258138418	-1.3303195238
0.6157241672	0.5007514954	-1.3407982588
0.6157820418	0.4016699791	-1.3491001129
0.6158399024	0.3237048686	-1.3556326628
0.6158977793	0.2590367198	-1.3610510826
0.6159556391	0.2094113082	-1.3652091026
0.6160135103	0.1699727625	-1.3685135841
0.6160713706	0.1414666027	-1.3709020615
0.6161292441	0.1220759749	-1.3725267649
0.6161871130	0.1121423542	-1.3733590841
0.6162449908	0.1206119657	-1.3726494312
0.6163028514	0.1490541101	-1.3702663183
0.6163607454	0.1973378807	-1.3662207127
0.6164185974	0.2550459206	-1.3613854647
0.6164764783	0.3239794374	-1.3556096554
0.6165343552	0.3992384970	-1.3493038416
0.6165922151	0.4907837510	-1.3416334391
0.6166500720	0.5786654353	-1.3342700005
0.6167079577	0.6555392742	-1.3278288841
0.6167658058	0.7427906990	-1.3205182552
0.6168236868	0.8296110034	-1.3132437468
0.6168815515	0.9179422259	-1.3058426380
0.6169394237	1.0179386139	-1.2974641323
0.6169972940	1.1166473627	-1.2891935110
0.6170551663	1.2173821926	-1.2807531357
0.6171130295	1.3237097263	-1.2718441486
0.6171709318	1.4319154024	-1.2627778053
0.6172287803	1.5460594893	-1.2532138824
0.6172866429	1.6679434776	-1.2430014610
0.6173445245	1.7867286205	-1.2330486774
0.6174023761	1.8916633129	-1.2242563963
0.6174602638	1.9972354174	-1.2154107094
0.6175181296	2.0998311043	-1.2068144083
0.6175760011	2.2159388065	-1.1970859766
0.6176338749	2.3236746788	-1.1880589724
0.6176917372	2.4264483452	-1.1794477701
0.6177496154	2.5333621502	-1.1704896688
0.6178074705	2.6406371593	-1.1615012884
0.6178653460	2.7483918667	-1.1524727345
0.6179232180	2.8374686241	-1.1450091600
0.6179810744	2.9359240532	-1.1367597580
0.6180389506	3.0311329365	-1.1287823915
0.6180968175	3.1246502399	-1.1209467649
0.6181547006	3.1746597290	-1.1167565584
0.6182125875	3.1946806908	-1.1150790453
0.6182704243	3.1791996956	-1.1163761616
0.6183283264	3.1643903255	-1.1176170111
0.6183861775	3.1828517914	-1.1160701513
0.6184440319	3.1932466030	-1.1151992083
0.6185019147	3.2072818279	-1.1140232086
0.6185597879	3.2437739372	-1.1109656096
0.6186176599	3.2933893204	-1.1068084240
0.6186755125	3.3693797588	-1.1004413366
0.6187333847	3.5070874691	-1.0889030695
0.6187912501	3.5928065777	-1.0817208290
0.6188491148	3.6479165554	-1.0771032572
0.6189069888	3.6959841251	-1.0730757713
0.6189648473	3.7930653095	-1.0649415255
0.6190227262	3.8979787827	-1.0561510324
0.6190805846	3.9497652054	-1.0518119335
0.6191384829	3.9659261703	-1.0504578352
0.6191963288	4.0276279449	-1.0452879667
0.6192541938	4.1781501770	-1.0326759815
0.6193120622	4.2944116592	-1.0229346752
0.6193699284	4.3947820663	-1.0145248175
0.6194277940	4.4806947708	-1.0073263645
0.6194856565	4.5497589111	-1.0015395880
0.6195435248	4.6191501617	-0.9957254529
0.6196013834	4.6851315498	-0.9901970029
0.6196592455	4.7465682030	-0.9850493073
0.6197171302	4.8107657433	-0.9796703458
0.6197750008	4.8816356659	-0.9737322927
0.6198328624	4.9482817650	-0.9681481123
0.6198907256	5.0100812912	-0.9629700780
0.6199486009	5.0699067116	-0.9579573870
0.6200064502	5.1310110092	-0.9528375864
0.6200643164	5.1973109245	-0.9472824335
0.6201221838	5.2545218468	-0.9424888492
0.6201800652	5.3128409386	-0.9376024008
0.6202379213	5.3604226112	-0.9336156249
0.6202958059	5.4182887077	-0.9287671447
0.6203536627	5.4664707184	-0.9247300625
0.6204115266	5.5102181435	-0.9210645556
0.6204693947	5.5630245209	-0.9166399837
0.6205272614	5.6092257500	-0.9127689004
0.6205851417	5.6653509140	-0.9080662727
0.6206429893	5.7114377022	-0.9042047262
0.6207008751	5.7522349358	-0.9007863998
0.6207587392	5.8097939491	-0.8959636688
0.6208166010	5.8533391953	-0.8923150897
0.6208744729	5.8995337486	-0.8884445429
0.6209323237	5.9491624832	-0.8842862248
0.6209902116	5.9954366684	-0.8804090023
0.6210480730	6.0454349518	-0.8762197495
0.6211059264	6.0926566124	-0.8722631335
0.6211638010	6.1332354546	-0.8688631058
0.6212216783	6.1726918221	-0.8655571342
0.6212795331	6.2103519440	-0.8624016643
0.6213373910	6.2383823395	-0.8600530624
0.6213952792	6.2557411194	-0.8585985899
0.6214531711	6.2926292419	-0.8555077910
0.6215110006	6.3305368423	-0.8523315787
0.6215688821	6.3759937286	-0.8485228419
0.6216267416	6.4269957542	-0.8442494869
0.6216846073	6.4680080414	-0.8408131599
0.6217424731	6.5074586868	-0.8375076652
0.6218003290	6.5485396385	-0.8340655565
0.6218582072	6.5825810432	-0.8312132955
0.6219160695	6.6080689430	-0.8290777206
0.6219739406	6.6436753273	-0.8260943294
0.6220318160	6.6756677628	-0.8234137297
0.6220896664	6.7010564804	-0.8212864399
0.6221475364	6.7299995422	-0.8188613653
0.6222054369	6.7627091408	-0.8161206841
0.6222633154	6.7967357635	-0.8132696748
0.6223211469	6.8209695816	-0.8112391829
0.6223790114	6.8420977592	-0.8094688654
0.6224368909	6.8649239540	-0.8075563312
0.6224947684	6.8956050873	-0.8049855828
0.6225526338	6.9133596420	-0.8034979701
0.6226105091	6.9234185219	-0.8026551604
0.6226683649	6.9545373917	-0.8000477552
0.6227262644	6.9993720055	-0.7962911725
0.6227841127	7.0423941612	-0.7926864028
0.6228419866	7.0761389732	-0.7898589969
0.6228998347	7.1050620079	-0.7874355912
0.6229577124	7.1400270462	-0.7845059633
0.6230155855	7.1656994820	-0.7823548913
0.6230734811	7.1851286888	-0.7807269692
0.6231313080	7.2009320259	-0.7794028521
0.6231892088	7.2227163315	-0.7775775790
0.6232470580	7.2362818718	-0.7764409184
0.6233049164	7.2489409447	-0.7753802538
0.6233628055	7.2591876984	-0.7745217085
0.6234206750	7.2844486237	-0.7724051476
0.6234785389	7.3018054962	-0.7709508538
0.6235364336	7.3164887428	-0.7697205544
0.6235942673	7.3385581970	-0.7678713799
0.6236521285	7.3654317856	-0.7656196952
0.6237100001	7.3867139816	-0.7638365030
0.6237678993	7.4065728188	-0.7621725798
0.6238257516	7.4199743271	-0.7610496879
0.6238836057	7.4374523163	-0.7595852613
0.6239414855	7.4492006302	-0.7586008906
0.6239993596	7.4590659142	-0.7577742934
0.6240572243	7.4733948708	-0.7565736771
0.6241150953	7.4878592491	-0.7553617358
0.6241729514	7.5001211166	-0.7543343306
0.6242308316	7.5131273270	-0.7532445788
0.6242887031	7.5304279327	-0.7517949939
0.6243465729	7.5513443947	-0.7500424385
0.6244044376	7.5598974228	-0.7493258119
