Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6615117229	1.8950337172	2.9568026066
0.6615233018	1.9187464714	2.9458122253
0.6615348814	1.9062628746	2.9515945911
0.6615464410	1.9218090773	2.9443948269
0.6615580291	1.9390163422	2.9364399910
0.6615696140	1.8872131109	2.9604334831
0.6615811937	1.8959712982	2.9563674927
0.6615927646	1.9101852179	2.9497768879
0.6616043249	1.9007117748	2.9541683197
0.6616158990	1.9282735586	2.9414045811
start
0.6616274650	1.9028331041	2.9531846046
0.6616390448	1.9229468107	2.9438683987
0.6616506222	1.9105830193	2.9495925903
0.6616621929	1.8932105303	2.9576487541
0.6616737547	1.8873245716	2.9603817463
0.6616853420	1.9474815130	2.9325320721
0.6616969185	1.9259917736	2.9424598217
0.6617084774	1.9198513031	2.9453008175
0.6617200601	1.9463330507	2.9330620766
0.6617316350	1.9211877584	2.9446823597
0.6617431993	1.9542831182	2.9293947220
0.6617547815	1.9306843281	2.9402899742
0.6617663516	1.9037210941	2.9527728558
0.6617779295	1.9130818844	2.9484350681
0.6617895134	1.9123179913	2.9487888813
0.6618011084	1.8916163445	2.9583888054
0.6618126499	1.9372299910	2.9372651577
0.6618242399	1.9052233696	2.9520764351
0.6618357980	1.9097715616	2.9499685764
0.6618473990	1.9131714106	2.9483935833
0.6618589589	1.9090681076	2.9502944946
0.6618705308	1.9290423393	2.9410490990
0.6618821127	1.9262113571	2.9423582554
0.6618936615	1.9594702721	2.9270036221
0.6619052539	1.9085422754	2.9505381584
0.6619168166	1.9315075874	2.9399094582
0.6619283896	1.9559369087	2.9286322594
0.6619399844	2.0407304764	2.8897211552
0.6619515489	2.6344351768	2.6271026134
0.6619631054	3.7120630741	2.1916797161
0.6619746898	4.2585353851	1.9896310568
0.6619862532	4.2269158363	2.0009973049
0.6619978361	4.2451591492	1.9944347143
0.6620094075	4.1063313484	2.0447041988
0.6620209834	4.3393540382	1.9607564211
0.6620325667	4.5379996300	1.8908544779
0.6620441217	4.4981236458	1.9047657251
0.6620557181	4.6822462082	1.8410336971
0.6620672877	5.1115055084	1.6973159313
0.6620788523	5.3619689941	1.6165086031
0.6620904282	5.4082307816	1.6018226147
0.6621020070	5.4673418999	1.5831646919
0.6621135828	5.6811828613	1.5166611671
0.6621251689	5.7777657509	1.4871277809
0.6621367256	5.9757328033	1.4275542498
0.6621482886	6.3174772263	1.3276860714
0.6621598821	6.8211569786	1.1871018410
0.6621714767	7.0985813141	1.1128965616
0.6621830116	7.1346960068	1.1034004688
0.6621945823	7.5294628143	1.0019950867
0.6622061890	7.8966474533	0.9115055203
0.6622177337	7.8600716591	0.9203580618
0.6622293131	7.7046232224	0.9583772421
0.6622408816	7.7475857735	0.9478051662
0.6622524747	7.7171354294	0.9552932382
0.6622640321	7.9636769295	0.8953733444
0.6622756028	8.3414163589	0.8066288233
0.6622871883	8.6632614136	0.7338407636
0.6622987502	9.0045413971	0.6593913436
0.6623103300	9.4225997925	0.5718811750
0.6623219100	9.7058620453	0.5148091912
0.6623334735	10.0156917572	0.4543659389
0.6623450517	10.3437585831	0.3925473690
0.6623566278	10.3871622086	0.3845328391
0.6623681960	10.4441680908	0.3740637898
0.6623797779	10.5680828094	0.3515298963
0.6623913558	10.8919773102	0.2940443754
0.6624029203	11.1953058243	0.2420153916
0.6624144922	11.4319248199	0.2026043385
0.6624260654	11.8111572266	0.1415180266
0.6624376383	12.1674728394	0.0863749161
0.6624492346	12.2187261581	0.0786173269
0.6624607904	12.5735139847	0.0260878708
0.6624723616	12.9666128159	-0.0297943000
